Item #,Qty,Reference Designator,Description,Package,Type,Manufacturer,Part No.,Digikey Part No.,Link
11,1,J5,"Connector, 0.05"", Right Angle Header, 40 Position",header,Through-hole,Samtec Inc,TFML-120-01-S-D-RA,SAM8266-ND,http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=SAM8266-ND
12,3,JP1 JP2 JP3,"Male Headers Pins, 0.1"" spacing, 2x1",header,Through-hole,Harwin Inc,M20-9990246, 952-2121-ND,http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name= 952-2121-ND
13,1,P1,"Male Headers Pins, 0.1"" spacing, 6x1, R/A",header,Through-hole,SULLINS CONNECTOR SOLUTIONS,PRPC006SBAN-M71RC,S1111EC-06-ND,http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=S1111EC-06-ND
14,1,P2,"Male Headers Pins, 0.1"" spacing, 3x2",header,Through-hole,HARWIN INC,M20-9980346,952-2121-ND,http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=952-2121-ND
15,80,R2 R3 R4 R5 R8 R9 R10 R11 R14 R15 R16 R17 R20 R21 R22 R23 R26 R27 R28 R29 R32 R33 R34 R35 R38 R39 R40 R41 R46 R47 R48 R49 R52 R53 R54 R55 R58 R59 R60 R61 R63 R65 R66 R67 R69 R71 R72 R73 R76 R77 R78 R79 R82 R83 R84 R85 R88 R89 R90 R91 R94 R95 R96 R97 R102 R103 R104 R105 R108 R109 R110 R111 R113 R115 R116 R117 R119 R121 R122 R123,"Resistor, Metal Film, 374, 1%, 1/4W",1206,SMT,Yageo,RC1206FR-07374RL,311-374FRCT-ND,http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=311-374FRCT-ND
16,5,R45 R100 R125 R126 R127,"Resistor, Metal Film, 1k, 1%, 1/4W, 1206",1206,SMT,STACKPOLE ELECTRONICS INC,RMCF1206FT1K00,RMCF1206FT1K00CT-ND,http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=RMCF1206FT1K00CT-ND
17,40,R1 R6 R7 R12 R13 R18 R19 R24 R25 R30 R31 R36 R37 R42 R44 R50 R51 R56 R57 R62 R64 R68 R70 R74 R75 R80 R81 R86 R87 R92 R93 R98 R101 R106 R107 R112 R114 R118 R120 R124,"Resistor, Metal Film, 4.75k, 1%, 1/8W",1206,SMT,Yageo,RC1206FR-074K75L,311-4.75KFRCT-ND,http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=311-4.75KFRCT-ND
18,1,R43,"Resistor, Metal Film, 10k, 1%, 1/4W, 1206",1206,SMT,STACKPOLE ELECTRONICS INC,RMCF1206FT10K0,RMCF1206FT10K0TR-ND,http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=RMCF1206FT10K0TR-ND
19,1,R99,"Resistor, Metal Film, 1M, 1%, 1/4W, 1206",1206,SMT,STACKPOLE ELECTRONICS INC,RMCF1206FT1M00,RMCF1206FT1M00TR-ND,http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=RMCF1206FT1M00TR-ND
20,3,S1 S2 S3,"Shunt Jumper .1""",N/A,N/A,3M,969102-0000-DA,3M9580-ND,http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=3M9580-ND
21,1,SW1,"Switch Tactile, SPST-NO, 0.05A 12V",button,Through-hole,C&K Components,PTS645SK43 LFS,CKN9090-ND,http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=CKN9090-ND
22,1,U6,IC Quad 2-IN NAND Gate,14-SOIC,SMT,Texas Instruments,SN74LV00ADR,296-1670-1-ND,http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=296-1670-1-ND
23,5,U1 U2 U3 U4 U5,IC Shift Register 8-BIT,16-SOIC,SMT,Fairchild Semiconductor,MM74HC595MX,MM74HC595MXCT-ND,http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=MM74HC595MXCT-ND
24,1,X1,Crytal 16MHZ 18pF,HC49/US,Through-hole,CITIZEN FINETECH MIYOTA,HC49US-16.000MABJ-UB,300-8499-ND,http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=300-8499-ND
,,,,,,,,,
Note: S1-3 do not need to be placed,,,,,,,,,
